-57,1025.5418
-56.9,1025.5415
-56.8,1025.5413
-56.7,1025.541
-56.6,1025.5408
-56.5,1025.5406
-56.4,1025.5403
-56.3,1025.5401
-56.2,1025.5399
-56.1,1025.5396
-56,1025.5394
-55.9,1025.5391
-55.8,1025.5389
-55.7,1025.5387
-55.6,1025.5384
-55.5,1025.5382
-55.4,1025.538
-55.3,1025.5377
-55.2,1025.5375
-55.1,1025.5372
-55,1025.537
-54.9,1025.5368
-54.8,1025.5365
-54.7,1025.5363
-54.6,1025.5361
-54.5,1025.5358
-54.4,1025.5356
-54.3,1025.5353
-54.2,1025.5351
-54.1,1025.5349
-54,1025.5346
-53.9,1025.5344
-53.8,1025.5342
-53.7,1025.5339
-53.6,1025.5337
-53.5,1025.5334
-53.4,1025.5332
-53.3,1025.533
-53.2,1025.5327
-53.1,1025.5325
-53,1025.5322
-52.9,1025.532
-52.8,1025.5318
-52.7,1025.5315
-52.6,1025.5313
-52.5,1025.531
-52.4,1025.5308
-52.3,1025.5305
-52.2,1025.5302
-52.1,1025.53
-52,1025.5297
-51.9,1025.5294
-51.8,1025.5292
-51.7,1025.5289
-51.6,1025.5286
-51.5,1025.5283
-51.4,1025.528
-51.3,1025.5277
-51.2,1025.5274
-51.1,1025.5271
-51,1025.5268
-50.9,1025.5265
-50.8,1025.5262
-50.7,1025.5259
-50.6,1025.5256
-50.5,1025.5252
-50.4,1025.5249
-50.3,1025.5246
-50.2,1025.5242
-50.1,1025.5239
-50,1025.5235
-49.9,1025.5232
-49.8,1025.5228
-49.7,1025.5225
-49.6,1025.5221
-49.5,1025.5217
-49.4,1025.5213
-49.3,1025.521
-49.2,1025.5206
-49.1,1025.5202
-49,1025.5198
-48.9,1025.5194
-48.8,1025.519
-48.7,1025.5185
-48.6,1025.5181
-48.5,1025.5177
-48.4,1025.5173
-48.3,1025.5168
-48.2,1025.5164
-48.1,1025.5159
-48,1025.5155
-47.9,1025.515
-47.8,1025.5146
-47.7,1025.5141
-47.6,1025.5136
-47.5,1025.5131
-47.4,1025.5126
-47.3,1025.5121
-47.2,1025.5116
-47.1,1025.5111
-47,1025.5106
-46.9,1025.5101
-46.8,1025.5095
-46.7,1025.509
-46.6,1025.5085
-46.5,1025.5079
-46.4,1025.5073
-46.3,1025.5068
-46.2,1025.5062
-46.1,1025.5056
-46,1025.505
-45.9,1025.5044
-45.8,1025.5038
-45.7,1025.5032
-45.6,1025.5026
-45.5,1025.502
-45.4,1025.5013
-45.3,1025.5007
-45.2,1025.5
-45.1,1025.4993
-45,1025.4987
-44.9,1025.498
-44.8,1025.4973
-44.7,1025.4966
-44.6,1025.4959
-44.5,1025.4952
-44.4,1025.4944
-44.3,1025.4937
-44.2,1025.493
-44.1,1025.4922
-44,1025.4914
-43.9,1025.4907
-43.8,1025.4899
-43.7,1025.4891
-43.6,1025.4883
-43.5,1025.4874
-43.4,1025.4866
-43.3,1025.4858
-43.2,1025.4849
-43.1,1025.4841
-43,1025.4832
-42.9,1025.4823
-42.8,1025.4814
-42.7,1025.4805
-42.6,1025.4796
-42.5,1025.4786
-42.4,1025.4777
-42.3,1025.4767
-42.2,1025.4758
-42.1,1025.4748
-42,1025.4738
-41.9,1025.4728
-41.8,1025.4718
-41.7,1025.4707
-41.6,1025.4697
-41.5,1025.4686
-41.4,1025.4675
-41.3,1025.4664
-41.2,1025.4653
-41.1,1025.4642
-41,1025.4631
-40.9,1025.4619
-40.8,1025.4608
-40.7,1025.4596
-40.6,1025.4584
-40.5,1025.4572
-40.4,1025.456
-40.3,1025.4547
-40.2,1025.4535
-40.1,1025.4522
-40,1025.4509
-39.9,1025.4496
-39.8,1025.4483
-39.7,1025.4469
-39.6,1025.4456
-39.5,1025.4442
-39.4,1025.4428
-39.3,1025.4414
-39.2,1025.44
-39.1,1025.4385
-39,1025.4371
-38.9,1025.4356
-38.8,1025.4341
-38.7,1025.4326
-38.6,1025.431
-38.5,1025.4295
-38.4,1025.4279
-38.3,1025.4263
-38.2,1025.4246
-38.1,1025.423
-38,1025.4213
-37.9,1025.4197
-37.8,1025.4179
-37.7,1025.4162
-37.6,1025.4145
-37.5,1025.4127
-37.4,1025.4109
-37.3,1025.4091
-37.2,1025.4072
-37.1,1025.4054
-37,1025.4035
-36.9,1025.4016
-36.8,1025.3996
-36.7,1025.3977
-36.6,1025.3957
-36.5,1025.3937
-36.4,1025.3916
-36.3,1025.3896
-36.2,1025.3875
-36.1,1025.3854
-36,1025.3832
-35.9,1025.381
-35.8,1025.3788
-35.7,1025.3766
-35.6,1025.3744
-35.5,1025.3721
-35.4,1025.3698
-35.3,1025.3674
-35.2,1025.3651
-35.1,1025.3627
-35,1025.3602
-34.9,1025.3578
-34.8,1025.3553
-34.7,1025.3528
-34.6,1025.3502
-34.5,1025.3477
-34.4,1025.345
-34.3,1025.3424
-34.2,1025.3397
-34.1,1025.337
-34,1025.3342
-33.9,1025.3315
-33.8,1025.3287
-33.7,1025.3258
-33.6,1025.3229
-33.5,1025.32
-33.4,1025.317
-33.3,1025.3141
-33.2,1025.311
-33.1,1025.308
-33,1025.3049
-32.9,1025.3017
-32.8,1025.2985
-32.7,1025.2953
-32.6,1025.2921
-32.5,1025.2888
-32.4,1025.2854
-32.3,1025.282
-32.2,1025.2786
-32.1,1025.2752
-32,1025.2717
-31.9,1025.2681
-31.8,1025.2645
-31.7,1025.2609
-31.6,1025.2572
-31.5,1025.2535
-31.4,1025.2497
-31.3,1025.2459
-31.2,1025.2421
-31.1,1025.2382
-31,1025.2342
-30.9,1025.2303
-30.8,1025.2262
-30.7,1025.2221
-30.6,1025.218
-30.5,1025.2138
-30.4,1025.2096
-30.3,1025.2053
-30.2,1025.201
-30.1,1025.1966
-30,1025.1922
-29.9,1025.1877
-29.8,1025.1831
