-80,1023.9838,-0.50545455
-79,1023.9945,-0.512
-78,1023.9809,-0.51854545
-77,1023.9708,-0.52509091
-76,1023.9648,-0.53163636
-75,1023.9421,-0.53818182
-74,1023.9247,-0.54254545
-73,1023.9076,-0.54690909
-72,1023.8897,-0.55127273
-71,1023.8834,-0.55563636
-70,1023.8683,-0.56
-69,1023.8549,-0.56436364
-68,1023.8659,-0.56872727
-67,1023.8551,-0.57309091
-66,1023.9143,-0.57745455
-65,1023.9042,-0.58181818
-64,1023.8902,-0.58618182
-63,1023.8774,-0.59054545
-62,1023.8663,-0.59581818
-61,1023.8812,-0.602
-60,1023.8955,-0.60818182
-59,1023.8895,-0.61436364
-58,1023.8802,-0.62054545
-57,1023.8751,-0.62672727
-56,1023.8698,-0.63290909
-55,1023.8623,-0.63909091
-54,1023.8576,-0.64527273
-53,1023.8475,-0.65145455
-52,1023.8357,-0.65763636
-51,1023.8276,-0.66381818
-50,1023.8195,-0.67
-49,1023.8101,-0.67472727
-48,1023.7966,-0.67945455
-47,1023.7818,-0.68418182
-46,1023.769,-0.68890909
-45,1023.7539,-0.69363636
-44,1023.7428,-0.69836364
-43,1023.7344,-0.70309091
-42,1023.7278,-0.70781818
-41,1023.7199,-0.71254545
-40,1023.7129,-0.71727273
-39,1023.7033,-0.722
-38,1023.6957,-0.72672727
-37,1023.6868,-0.72945455
-36,1023.6759,-0.73018182
-35,1023.6656,-0.73090909
-34,1023.6575,-0.73163636
-33,1023.6524,-0.73236364
-32,1023.6441,-0.73309091
-31,1023.6341,-0.73381818
-30,1023.624,-0.73454545
-29,1023.6135,-0.73527273
-28,1023.6001,-0.736
-27,1023.5899,-0.73672727
-26,1023.576,-0.73745455
-25,1023.564,-0.73818182
-24,1023.5292,-0.73927273
-23,1023.4914,-0.74036364
-22,1023.4605,-0.74145455
-21,1023.422,-0.74254545
-20,1023.3631,-0.74363636
-19,1023.3406,-0.74472727
-18,1023.3117,-0.74581818
-17,1023.2849,-0.74690909
-16,1023.2525,-0.748
-15,1023.2164,-0.74909091
-14,1023.1598,-0.75018182
-13,1023.0874,-0.75127273
-12,1022.9796,-0.75181818
-11,1022.7884,-0.75181818
-10,1022.4077,-0.75181818
-9,1021.8745,-0.75181818
-8,1021.1399,-0.75181818
-7,1020.2865,-0.75181818
-6,1019.2598,-0.75181818
-5,1017.9157,-0.75181818
-4,1017.3912,-0.75181818
-3,1017.2434,-0.75181818
-2,1016.7059,-0.75181818
-1,1016.4308,-0.75181818
-0,1016.6024,-0.75181818
